File ID,T1,T2,T3,T4,T5,T6
low_1,"18R,17Y,17U,18N,19Z,17C,17N,18I,17Q,20T,19T,17H,20N,18E,19W,19M,17V,20P,18S,20G,17G,18A,17X,19F","17O,18E,18J,17C,17S",True,2,10,36
low_2,"22B,24A,21Y,21F,22V,23Y,22J,22T,23S,22Y,21S,23X,24D,24G,22I,22X,23W,22U","24F,21W,22I,21S,22D",True,2,1,86
low_3,"33C,33E,33F,33I,32Z,33P,33O,33N,33M,33J,33W,33Y,33V,33U,33R,34C,34B,34F,34I,34V,34R,35G,35B,35A,34Y,35J,35I,35T,35P,35O,35M,36B,36A,36C,35Z,35W,36K,36J,36Q,36U,36T,37B,37H,37D,36Z,37J","36J,34R,35B,35T,33C",True,2,16,10
low_4,"71E,72X,72T,75C,75H,73S,74Y,71Q,72D,74W,72C,71X,70W,71J,71A,74Z","71E,72F,70Y,71Q,73P",True,2,10,69
low_5,"64U,63W,63O,64G","62X,62I,64S,62W,63F",True,2,2,112
low_6,"67I,70H,68U","70H,66X,66T,68U,67J",True,2,1,111
high_1,"08U,08Y,08R,06M,08L,08E,08N,08I,08A,09B,08C,07U,07Y,07N,07J,06K,07R,06U,04I,04W,03Y,02T,04D,03N,03T,04N,02V,03E,02P,03K,02B","01L,01C,06K,06X,06U",True,4,1,216
high_2,59T,"54C,58P,59A,59I,60D",True,4,1,217
high_3,"15W,09U,09Z,16Q,16H","16K,13W,16I,10O,12M",True,4,2,198
high_4,"25E,27S,25L,25T,30I,25S,30P,31R,25N,26D,26C,28W,24J,29B,27A","25H,30U,25N,27S,29C",True,4,1,226
high_5,"46K,39Z,37O,42H","41L,38A,43G,45Y,39Y",True,4,2,232
high_6,"48Q,53S","48N,51Y,47Q,47U,48L",True,4,1,191
